rating,title,text,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase,product_title,product_description
5,Such a lovely scent but not overpowering.,"This spray is really nice. It smells really good, goes on really fine, and does the trick. I will say it feels like you need a lot of it though to get the texture I want. I have a lot of hair, medium thickness. I am comparing to other brands with yucky chemicals so I'm gonna stick with this. Try it!",B00YQ6X8EO,B00YQ6X8EO,AGKHLEW2SOWHNMFQIJGBECAF7INQ,1.59E+12,0,TRUE,"Herbivore - Natural Sea Mist Texturizing Salt Spray (Coconut, 8 oz)","['If given the choice, weÕd leave most telltale signs of the beachÑsunburns, sandy toes, crab claw pinches, etc.Ñat the beach where they belong. The one thing wish we could take with us? That salty sea breeze. This all-natural spray manages, magically, to bottle the effect of sea mist so you can have it all the time. A quick spray in your hair imparts that impossibly perfect texture that comes from a swim in the ocean and a sprawl in the sun.']"
4,Works great but smells a little weird.,"This product does what I need it to do, I just wish it was odorless or had a soft coconut smell. Having my head smell like an orange coffee is offputting. (granted, I did know the smell was described but I was hoping it would be light)",B081TJ8YS3,B081TJ8YS3,AGKHLEW2SOWHNMFQIJGBECAF7INQ,1.59E+12,1,TRUE,"All Natural Vegan Dry Shampoo Powder - Eco Friendly, Root Touch Up | Hair Powder Volumizer | For Brown Hair, Brunette and Dark Hair. (Brun + Application Brush) Two Goats Apothecary",[]
5,Yes!,"Smells good, feels great!",B07PNNCSP9,B097R46CSY,AE74DYR3QUGVPZJ3P7RFWBGIX7XQ,1.59E+12,2,TRUE,"New Road Beauty - Creamsicle - Variety 3 Pack Paraffin Wax - Peach, Vanilla & Mango - Moisturize and Smooths Skin - Nourishing and Provides Massage Therapy","['New Road Beauty Paraffin Wax is recommended for Beauty and Medical Application. It is outstanding for moisturizing dry skin, nourishing finger and toe nails and providing massage therapy. Having cosmetic and therapeutic benefits, it is often used in skin-softening treatment on the hands, cuticles, and feet. Paraffin wax is a soft solid wax and is made from saturated hydrocarbon. The wax is a natural emollient, helping make skin supple and soft. When applied to the skin, it adds moisture and continues to boost the moisture levels of the skin after the treatment is complete. It can also help pores and remove dead skin cells, that may help make the skin look fresher and feel smoother. New Road Beauty Paraffin Wax is available in Unscented as well as seven different fragrances, including Wintergreen, Peach, Lavender, Vanilla, Coconut, Mango, and Pineapple. Each fragrance comes in a 1 lb. size. Each scent comes in a 1 pack, 3 pack, or 6 pack. Try one of our 3 or 6 combination packs that are available to you. You should not use paraffin wax if you have: Poor blood circulation Numbness in your hands or feet Any rashes or open sores If you have very sensitive skin, paraffin wax may cause heat rash. Heat rash results in small red bumps on the skin that can be itchy and uncomfortable.']"
1,Synthetic feeling,Felt synthetic,B09JS339BZ,B09JS339BZ,AFQLNQNQYFWQZPJQZS6V3NZU4QBQ,1.64E+12,0,TRUE,"muaowig Ombre Body Wave Bundles 1B Grey Human Hair Bundles 8 10 12 inch Hair Weave Body Wave Brazilian Remy Hair Bundles Ombre Hair Extensions 3 Bundles By Muao,Grey Body Wave","[""Hair Material: Brazilian Virgin Human Hair Bundle Hair Weft: Machine Double Weft, Tight and Neat Hair Color: 1B/GREY Black To Grey Hair Length:8-30 inch in Stock Hair Weight:100g(+-5g)/Pcs, 300g/Pack，3 Bundles Enough For Making A Full Head Hair Quality: Ture To Length,Soft and Full,No Smell,Shedding & Tangle Free, No Dry Split Ends,Can Be Permed and Curled Delivery&Return Policy:Amazon Prime 1-3 Days Arrival，No Reason To Return Within 30 Days FQA: Q1:Can hair be permed？ A1:The Can Be Straightened And Restyled as You Wish，Please Be Careful Not to Exceed 200°F, Otherwise It Will Damage The Hair.Q2： Hair Smell? A2： Unprocessed Hair, No Chemical Smell.But We Use Shampoo and Oil To Keep The Hair Soft,Some Wavy Or Curly Hair May Have a Little Hairspray Smell,and It'Ll Disappear After Washing. Q3: Hair Tangle? A3:Hair Tangle Due To Dry. Please Put Oil/Dirt Built Up, Salt-Water, Chlorine and Not Comb Daily. Make Sure Wash And Condition With Your Hair Every Two Weeks. Use Olive Oil To Moisten Smoothly.""]"
5,A+,Love it,B08BZ63GMJ,B08BZ63GMJ,AFQLNQNQYFWQZPJQZS6V3NZU4QBQ,1.61E+12,0,TRUE,"Yinhua Electric Nail Drill Kit Portable Professional Nail Drill Manicure Pen Shape Acrylic Nail Tools for Exfoliation Polishing with 6 Drill Bits and Sanding Bands for Home Salon (1 Set, green)",[]
4,Pretty Color,The polish was quiet thick and did not apply smoothly. I let dry overnight before adding a second coat since it was so thick.,B00R8DXL44,B00R8DXL44,AGMJ3EMDVL6OWBJF7CA5RGJLXN5A,1.60E+12,0,TRUE,"China Glaze Nail Polish, Wanderlust 1381","['China Glaze Nail Polish, Wanderlust, 1381, .50 fl. oz.Light lavender pink nail color with golden shimmer.China Glaze Road Trip Collection.']"
5,Handy,"Great for many tasks.  I purchased these for makeup removal.  No makeup on your washcloths.  Disposable, so great for travel.  Soft.  Absorbant.",B099DRHW5V,B099DRHW5V,AHREXOGQPZDA6354MHH4ETSF3MCQ,1.63E+12,0,TRUE,"Disposable Facial Cotton Tissue, 100PCS Cotton Towels Face Cleansing Wipes for Sensitive Skin, Makeup Remover Washcloth Dry and Wet Use",[]
3,Meh,These were lightweight and soft but much too small for my liking. I would have preferred two of these together to make one loc. For that reason I will not be repurchasing.,B088SZDGXG,B08BBQ29N5,AEYORY2AVPMCPDV57CE337YU5LXA,1.63E+12,0,TRUE,Niseyo new Faux Locs 24 Inch Crochet Hair 6 Packs 120 Strands Long Soft Ombre Natural Crochet Braids (24'' 6Pcs T27),[]
5,Great for at home use and so easy to use!,This is perfect for my between salon visits. I have been using this now twice a week for over a month and I absolutely love it! My skin looks amazing and feels super smooth and silky. This is also super easy to use (just follow instructions). I can see already that I will begin expanding the time between visits which will definitely help me save money in the long run. Highly recommend!,B08P2DZB4X,B08P2DZB4X,AFSKPY37N3C43SOI5IEXEK5JSIYA,1.63E+12,0,FALSE,NIRA Skincare Laser & Serum Bundle - Includes Anti-Aging Laser & Hyaluronic Acid Serum - Reduces Appearance of Fine Lines & Wrinkles - FDA Cleared,[]
5,Nice shampoo for the money,"I get Keratin treatments at the salon at least 3-4 times a year (would do it more often if I could afford it). I am always in the market to use products that can help extend my salon visits. This Keratin shampoo is really nice. It is sulfate free (which is the first thing I look for ) and makes my hair feel silky smooth and soft. I highly recommend for anyone who wants to improve the texture and appearance of your hair. I really like the fragrance, too.",B086QY6T7N,B086QY6T7N,AFSKPY37N3C43SOI5IEXEK5JSIYA,1.63E+12,0,FALSE,"Caroline Keller Keratin Shampoo for dry and damaged hair and scalp. With Argan oil, Avocado oil Keratin and Vitamins. Specially formulated for Post Keratin Treatments. Salt Free. 16.9 fl.Oz",[]
